
Metadata,IonizationFreqs:-0.000025 0.000025 0.000005 541.433310 THz,CoolingFreq:607.427840,RepumpFreq:461.312180,WindowStart:160.000,WindowWidth:55.000
hLoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
1	1	541.433285	False	2.000000	21.200000	4.142463	20.300000	3.822303
1	2	541.433290	False	15.000000	20.000000	4.024922	21.900000	4.721229
1	3	541.433295	True	14.000000	253.200000	16.308280	20.800000	5.173007
1	4	541.433300	False	18.000000	22.000000	4.711688	24.300000	4.473254
1	5	541.433305	False	18.000000	18.900000	2.981610	20.300000	6.450581
1	6	541.433310	False	16.000000	19.600000	2.374868	23.100000	5.734980
1	7	541.433315	False	15.000000	21.400000	5.083306	20.800000	3.789459
1	8	541.433320	False	17.000000	21.900000	3.389690	18.800000	3.944617
1	9	541.433325	False	8.000000	21.400000	6.902174	21.900000	4.085340
1	10	541.433330	False	10.000000	24.900000	6.300000	21.600000	5.388877
1	11	541.433335	False	16.000000	21.300000	5.780138	20.500000	3.471311
2	1	541.433285	False	15.000000	22.800000	4.643275	20.700000	2.900000
2	2	541.433290	False	13.000000	22.400000	5.553377	20.600000	2.615339
2	3	541.433295	False	24.000000	21.400000	5.607138	23.100000	3.176476
2	4	541.433300	False	20.000000	20.400000	3.773592	20.100000	4.060788
2	5	541.433305	False	24.000000	23.600000	2.289105	21.700000	3.257299
2	6	541.433310	False	28.000000	20.800000	4.707441	25.000000	5.656854
2	7	541.433315	False	17.000000	20.100000	3.884585	21.000000	5.215362
2	8	541.433320	False	9.000000	22.000000	4.024922	22.900000	4.657252
2	9	541.433325	False	6.000000	21.400000	5.407402	22.800000	3.091925
2	10	541.433330	False	9.000000	18.000000	3.820995	19.300000	4.712749
2	11	541.433335	False	7.000000	21.600000	3.440930	20.900000	3.419064
3	1	541.433285	False	7.000000	22.100000	4.109745	21.800000	2.891366
3	2	541.433290	False	8.000000	21.700000	5.532630	21.700000	3.377869
3	3	541.433295	False	21.000000	25.100000	3.562303	19.600000	3.611094
3	4	541.433300	False	16.000000	23.700000	4.796874	21.700000	5.119570
3	5	541.433305	False	21.000000	22.500000	5.572253	20.700000	5.216321
3	6	541.433310	False	19.000000	22.300000	4.980964	20.000000	4.171331
3	7	541.433315	True	25.000000	258.800000	11.608617	22.100000	4.988988
3	8	541.433320	False	18.000000	22.300000	4.960847	21.700000	3.579106
3	9	541.433325	False	3.000000	19.900000	4.928489	22.000000	4.753946
3	10	541.433330	False	9.000000	24.100000	4.300000	20.700000	4.859012
3	11	541.433335	False	14.000000	21.700000	3.925557	21.200000	6.305553
4	1	541.433285	False	10.000000	20.400000	4.340507	19.600000	4.715930
4	2	541.433290	False	12.000000	19.700000	4.517743	19.300000	4.124318
4	3	541.433295	False	15.000000	20.800000	5.306600	23.300000	3.925557
4	4	541.433300	False	21.000000	21.500000	3.528456	24.700000	5.423099
4	5	541.433305	False	15.000000	22.600000	7.901899	19.600000	3.773592
4	6	541.433310	False	16.000000	20.300000	4.605432	20.300000	3.796051
4	7	541.433315	True	15.000000	259.100000	8.814193	19.900000	5.048762
4	8	541.433320	False	21.000000	21.200000	4.707441	23.600000	3.852272
4	9	541.433325	False	8.000000	24.900000	5.356305	20.400000	5.885576
4	10	541.433330	False	12.000000	21.700000	3.634556	20.500000	5.661272
4	11	541.433335	False	8.000000	20.600000	5.200000	19.700000	5.330103
5	1	541.433285	False	8.000000	22.500000	6.711930	21.600000	3.720215
5	2	541.433290	False	9.000000	19.100000	4.229657	20.600000	4.340507
5	3	541.433295	False	10.000000	23.100000	5.223983	21.000000	3.521363
5	4	541.433300	False	17.000000	20.500000	4.455334	20.100000	3.112876
5	5	541.433305	False	21.000000	22.600000	3.527038	22.000000	3.193744
5	6	541.433310	False	18.000000	20.200000	4.354308	19.700000	4.428318
5	7	541.433315	False	14.000000	18.700000	3.132092	19.300000	4.337050
5	8	541.433320	False	15.000000	21.600000	3.929377	20.700000	6.067125
5	9	541.433325	False	16.000000	20.800000	4.190465	19.900000	4.060788
5	10	541.433330	False	10.000000	19.500000	4.759202	20.600000	3.611094
5	11	541.433335	False	7.000000	19.600000	4.340507	22.000000	4.049691
6	1	541.433285	False	16.000000	21.100000	3.534119	20.800000	2.821347
6	2	541.433290	False	10.000000	18.700000	2.794638	19.200000	5.400000
6	3	541.433295	False	7.000000	21.400000	4.586938	21.700000	4.670118
6	4	541.433300	False	12.000000	22.200000	4.331282	17.200000	4.142463
6	5	541.433305	False	19.000000	21.500000	4.080441	20.000000	3.633180
6	6	541.433310	False	18.000000	21.900000	6.300000	17.700000	3.551056
6	7	541.433315	False	15.000000	19.700000	4.360046	22.600000	3.231099
6	8	541.433320	False	12.000000	21.000000	5.157519	20.900000	4.109745
6	9	541.433325	False	20.000000	19.900000	2.662705	24.600000	4.054627
6	10	541.433330	False	7.000000	18.600000	4.079216	20.500000	6.135960
6	11	541.433335	False	17.000000	17.100000	3.590265	22.100000	5.068530
7	1	541.433285	False	18.000000	19.300000	3.848376	23.900000	5.647123
7	2	541.433290	False	14.000000	21.400000	5.023943	20.800000	4.166533
7	3	541.433295	False	11.000000	19.900000	3.590265	21.300000	5.916925
7	4	541.433300	False	13.000000	21.300000	3.465545	19.200000	4.044750
7	5	541.433305	False	17.000000	19.700000	3.287856	19.900000	3.858756
7	6	541.433310	False	18.000000	19.600000	4.779121	21.600000	4.923413
7	7	541.433315	False	17.000000	20.400000	3.954744	20.100000	5.485435
7	8	541.433320	False	9.000000	21.600000	4.608687	19.700000	3.436568
7	9	541.433325	False	13.000000	19.900000	6.774216	19.900000	3.806573
7	10	541.433330	False	13.000000	22.300000	4.517743	18.300000	3.465545
7	11	541.433335	False	7.000000	20.300000	3.163858	21.700000	3.287856
8	1	541.433285	False	8.000000	21.700000	5.967411	19.700000	4.360046
8	2	541.433290	False	4.000000	21.400000	4.862098	20.000000	5.531727
8	3	541.433295	False	21.000000	18.900000	5.467175	20.300000	5.273519
8	4	541.433300	False	11.000000	19.900000	4.134005	20.300000	3.796051
8	5	541.433305	False	19.000000	22.200000	2.271563	18.900000	4.109745
8	6	541.433310	False	15.000000	20.100000	4.742362	24.800000	5.491812
8	7	541.433315	False	12.000000	17.200000	4.664762	21.000000	4.669047
8	8	541.433320	False	13.000000	22.100000	4.085340	19.900000	4.908156
8	9	541.433325	False	14.000000	21.900000	2.071232	19.000000	4.878524
8	10	541.433330	False	14.000000	17.100000	4.276681	18.700000	2.830194
