
Metadata,IonizationFreq:541.433040,CoolingFreq:607.426010,RepumpFreq:461.312070,WindowStart:160.000,WindowWidth:55.000
hTotalTrapped	AttemptCount	IonCounts	IonCountsStd	NeutralCounts	BG	BGstd
1	4	848.200000	308.520923	58.000000	620.100000	24.262935
2	1	1499.700000	39.797110	70.000000	625.400000	32.465982
3	1	1479.500000	36.653104	46.000000	615.400000	38.029462
4	3	2327.000000	36.916121	68.000000	619.400000	20.254382
5	3	1468.100000	55.024449	86.000000	615.200000	24.367191
6	1	1313.800000	136.636598	58.000000	634.600000	32.453659
7	1	1482.100000	81.786857	73.000000	621.100000	23.010650
8	1	2275.400000	56.248022	63.000000	633.900000	24.390367
9	2	1451.800000	40.609851	80.000000	634.000000	25.526457
10	3	2253.600000	65.501450	55.000000	626.300000	16.811008
11	3	1457.200000	32.018120	69.000000	625.100000	19.765880
12	4	1415.400000	40.499877	82.000000	633.600000	26.211448
13	7	1465.900000	34.262078	80.000000	620.300000	24.992199
14	2	1441.400000	25.299012	96.000000	619.500000	21.891779
15	6	1413.300000	58.877925	62.000000	621.400000	24.191734
16	4	1438.900000	40.277661	99.000000	605.800000	15.065192
17	1	2196.400000	53.126641	65.000000	624.400000	25.425184
18	1	1445.800000	29.423800	92.000000	618.000000	24.256958
19	2	1430.200000	23.999167	73.000000	621.400000	24.787900
20	1	1337.800000	229.253920	83.000000	606.600000	34.453447
21	1	2169.100000	33.010453	75.000000	613.300000	22.913097
22	1	2932.100000	40.854498	74.000000	612.300000	22.311656
23	2	1382.100000	68.765471	77.000000	623.400000	26.039201
24	1	1975.200000	158.909282	75.000000	622.000000	29.933259
25	1	1373.100000	100.033444	102.000000	620.300000	25.191467
26	2	1422.100000	39.928561	86.000000	618.700000	36.271339
27	1	2190.300000	36.644372	82.000000	613.400000	30.832450
28	4	1048.500000	149.380889	80.000000	626.700000	16.081356
29	1	2214.400000	47.716245	77.000000	622.700000	21.265230
30	2	2199.000000	46.095553	81.000000	628.900000	15.109269
31	1	1420.500000	25.966324	96.000000	615.000000	20.469489
32	1	1425.200000	52.816285	154.000000	629.700000	19.396134
33	5	2159.700000	33.642384	136.000000	631.100000	22.607300
34	1	1414.000000	41.686928	87.000000	634.500000	25.916211
