x0000,y0000
1581602275,2364,
1581602285,2348,
1581602295,2378,
1581602305,2446,
1581602315,2417,
1581602325,2295,
1581602335,2277,
1581602345,2327,
1581602355,2458,
1581602365,2330,
1581602375,2355,
1581602385,2294,
1581602395,2374,
1581602405,2315,
1581602415,2365,
1581602425,2362,
1581602435,2304,
1581602445,2388,
1581602455,2274,
1581602465,2382,
1581602475,2269,
1581602485,2356,
1581602495,2385,
1581602505,2368,
1581602515,2317,
1581602525,2287,
1581602535,2327,
1581602545,2360,
1581602555,2381,
1581602565,2221,
1581602575,2288,
1581602585,2228,
1581602595,2257,
1581602605,2283,
1581602615,2328,
1581602625,2375,
1581602635,2374,
1581602645,2334,
1581602655,2303,
1581602665,2418,
1581602675,2405,
1581602685,2416,
1581602695,2417,
1581602705,2293,
1581602715,2397,
1581602725,2300,
1581602735,2315,
1581602745,2390,
1581602755,2356,
1581602765,2342,
1581602775,2284,
1581602785,2283,
1581602795,2205,
1581602805,2253,
1581602815,2245,
1581602825,2348,
1581602835,2316,
1581602845,2281,
1581602855,2263,
1581602865,2311,
1581602875,2292,
1581602885,2298,
1581602895,2347,
1581602905,2315,
1581602915,2374,
1581602925,2380,
1581602935,2394,
1581602945,2379,
1581602955,2390,
1581602965,2327,
1581602975,2323,
1581602985,2297,
1581602995,2304,
1581603005,2304,
1581603015,2281,
1581603025,2253,
1581603035,2323,
1581603045,2363,
1581603055,2415,
1581603065,2376,
1581603075,2292,
1581603085,2278,
1581603095,2272,
1581603105,2224,
1581603115,2285,
1581603125,2334,
1581603135,2317,
1581603145,2402,
1581603155,2370,
1581603165,2336,
1581603175,2319,
1581603185,2328,
1581603195,2284,
1581603205,2294,
1581603215,2318,
1581603225,2369,
1581603235,2428,
1581603245,2316,
1581603255,2330,
1581603265,2311,
1581603275,2280,
1581603285,2408,
1581603295,2291,
1581603305,2268,
1581603315,2413,
1581603325,2413,
1581603335,2256,
1581603345,2218,
1581603355,2205,
1581603365,2305,
1581603375,2290,
1581603385,2317,
1581603395,2319,
1581603405,2386,
1581603415,2419,
1581603425,2360,
1581603435,2313,
1581603445,2379,
1581603455,2353,
1581603465,2343,
1581603475,2322,
1581603485,2377,
1581603495,2370,
1581603505,2413,
1581603515,2391,
1581603525,2317,
1581603535,2464,
1581603545,2299,
1581603555,2358,
1581603565,2329,
1581603575,2356,
1581603585,2393,
1581603595,2359,
1581603605,2275,
1581603615,2376,
1581603625,2394,
1581603635,2354,
1581603645,2390,
1581603655,2259,
1581603665,2438,
1581603675,2412,
1581603685,2198,
1581603695,2318,
1581603705,2277,
1581603715,2179,
1581603725,2306,
1581603735,2242,
1581603745,2277,
1581603755,2366,
1581603765,2368,
1581603775,2311,
1581603785,2425,
1581603795,2387,
1581603805,2275,
1581603815,2372,
1581603825,2219,
1581603835,2404,
1581603845,2307,
1581603855,2370,
1581603865,2302,
1581603875,2351,
1581603885,2374,
1581603895,2457,
1581603905,2432,
1581603915,2323,
1581603925,2295,
1581603935,2355,
1581603945,2389,
1581603955,2376,
1581603965,2353,
1581603975,2365,
