x0000	y0000
1581546865	2115
1581546875	2043
1581546885	2076
1581546895	2083
1581546905	2080
1581546915	2370
1581546925	2238
1581546935	2231
1581546945	2358
1581546955	2372
1581546965	2210
1581546975	2304
1581546985	2159
1581546995	2255
1581547005	2192
1581547015	2239
1581547025	2170
1581547035	2242
1581547045	3098
1581547055	4116
1581547065	4441
1581547075	5040
1581547085	5539
1581547095	5487
1581547105	5430
1581547115	4808
1581547125	4718
1581547135	5405
1581547145	6083
1581547155	6277
1581547165	6136
1581547175	5483
1581547185	5177
1581547195	4916
1581547205	4602
1581547215	4874
1581547225	4730
1581547235	4509
1581547245	4450
1581547255	4342
1581547265	4086
1581547275	4708
1581547285	5014
1581547295	5128
1581547305	5137
1581547315	5167
1581547325	5098
1581547335	5153
1581547345	4795
1581547355	4370
1581547365	3986
1581547375	3760
1581547385	3937
1581547395	3891
1581547405	4544
1581547415	5112
1581547425	5127
1581547435	5119
1581547445	5429
1581547455	5375
1581547465	4899
1581547475	5043
1581547485	5730
1581547495	5909
1581547505	5828
1581547515	5964
1581547525	5823
1581547535	5415
1581547545	5420
1581547555	5564
1581547565	5618
1581547575	5195
1581547585	5359
1581547595	5418
1581547605	5339
1581547615	5372
1581547625	5233
1581547635	4968
1581547645	4811
1581547655	4903
1581547665	5453
1581547675	5242
1581547685	5056
1581547695	5006
1581547705	4891
1581547715	5250
1581547725	5194
1581547735	5160
1581547745	5386
1581547755	5923
1581547765	5892
1581547775	5871
1581547785	5691
1581547795	5639
1581547805	5642
1581547815	5600
1581547825	5527
1581547835	5481
1581547845	5369
1581547855	5446
1581547865	5395
1581547875	5162
1581547885	5320
1581547895	5522
1581547905	5448
1581547915	5133
1581547925	5542
1581547935	5931
1581547945	5944
1581547955	5833
1581547965	5662
1581547975	5297
1581547985	5268
1581547995	5343
1581548005	6084
1581548015	6327
1581548025	5920
1581548035	5778
1581548045	5623
1581548055	5765
1581548065	5724
1581548075	5679
1581548085	5797
1581548095	5993
1581548105	5929
1581548115	5929
1581548125	5655
1581548135	5561
1581548145	5717
1581548155	5918
1581548165	5833
1581548175	5923
1581548185	5994
1581548195	5952
1581548205	5960
1581548215	5895
1581548225	5829
1581548235	6042
1581548245	5824
1581548255	6019
1581548265	5956
1581548275	5610
1581548285	5477
1581548295	5603
1581548305	5627
1581548315	5726
1581548325	5628
1581548335	5507
1581548345	5738
1581548355	5743
1581548365	5722
1581548375	5423
1581548385	5420
1581548395	5372
1581548405	5326
1581548415	5294
1581548425	5423
1581548435	5073
1581548445	4858
1581548455	4663
1581548465	4769
1581548475	4833
1581548485	4819
1581548495	4993
1581548505	5218
1581548515	5274
1581548525	5414
1581548535	5307
1581548545	5314
1581548555	5137
1581548565	5017
1581548575	4954
1581548585	4794
1581548595	4894
1581548605	4733
1581548615	4285
1581548625	4458
1581548635	4179
1581548645	4079
1581548655	3741
1581548665	3478
1581548675	3381
1581548685	3320
1581548695	3429
1581548705	3473
1581548715	3674
1581548725	3627
1581548735	3746
1581548745	3635
1581548755	3581
1581548765	3503
1581548775	3585
1581548785	3749
1581548795	3551
1581548805	3612
1581548815	3854
1581548825	3959
1581548835	4096
1581548845	4104
1581548855	4123
1581548865	4123
1581548875	4081
1581548885	4123
1581548895	3987
1581548905	3935
1581548915	3783
1581548925	4109
1581548935	3770
1581548945	3919
1581548955	3994
1581548965	3987
1581548975	3887
1581548985	3682
1581548995	3676
1581549005	3803
1581549015	3941
1581549025	3764
1581549035	3735
1581549045	3743
1581549055	3676
1581549065	3479
1581549075	3679
1581549085	3611
1581549095	3782
1581549105	3691
1581549115	3445
1581549125	3533
1581549135	3669
1581549145	3754
1581549155	3717
1581549165	3628
1581549175	3467
1581549185	3301
1581549195	3318
1581549205	3422
1581549215	3467
1581549225	3633
1581549235	3837
1581549245	3647
1581549255	3612
1581549265	3766
1581549275	3646
1581549285	3540
