Metadata,Ionization Freq.:541.433020:THz,Cooling Freq.:607.426035:THz,Repump Freq.:461.312090:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1620155669.9425595	1	589.7	32.9	36.0	583.0	13.3
1620155691.9737434	2	2323.1	41.5	47.0	583.0	13.3
1620155716.032576	1	610.3	27.8	38.0	573.6	20.2
1620155737.6264465	2	597.4	12.0	39.0	573.6	20.2
1620155759.3144088	3	574.2	26.0	40.0	573.6	20.2
1620155781.0894237	4	2375.1	54.3	63.0	573.6	20.2
1620155805.570726	1	591.2	11.2	64.0	578.4	31.7
1620155827.191778	2	2298.9	47.6	37.0	578.4	31.7
1620155851.7326574	1	2279.4	47.3	57.0	590.8	23.6
1620155875.9757388	1	569.4	25.6	90.0	578.2	24.4
1620155897.567728	2	572.0	22.0	66.0	578.2	24.4
1620155919.2928548	3	596.4	27.8	48.0	578.2	24.4
1620155941.1780713	4	2315.1	38.6	78.0	578.2	24.4
1620155965.791226	1	594.6	22.7	48.0	579.3	23.8
1620155987.6711063	2	585.5	24.2	47.0	579.3	23.8
1620156010.036819	3	596.5	24.5	53.0	579.3	23.8
1620156032.149464	4	2314.3	48.5	55.0	579.3	23.8
