Metadata,Ionization Freq.:541.433020:THz,Cooling Freq.:607.426000:THz,Repump Freq.:461.312090:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1620158004.5841558	1	566.6	13.8	0.0	569.7	19.8
1620158028.0827658	2	585.8	24.1	29.0	569.7	19.8
1620158051.915605	3	618.9	17.2	12.0	569.7	19.8
1620158075.7350838	4	2517.1	74.2	18.0	569.7	19.8
1620158102.339072	1	1531.7	47.9	11.0	577.1	15.5
1620158128.5911639	1	599.5	27.3	22.0	586.7	27.5
1620158152.404976	2	2522.2	63.3	24.0	586.7	27.5
1620158179.0582871	1	3303.0	44.8	33.0	590.3	21.5
1620158205.7060654	1	1549.7	19.2	18.0	584.6	19.9
1620158232.1224918	1	1538.0	32.0	18.0	592.1	18.7
1620158258.7312446	1	4203.7	48.3	23.0	586.4	21.8
1620158285.6294665	1	587.5	28.2	19.0	577.3	18.6
1620158310.536071	2	2546.7	51.3	30.0	577.3	18.6
1620158337.571317	1	2371.8	60.2	30.0	558.7	23.2
1620158364.6725838	1	2476.5	67.1	18.0	596.9	32.6
1620158391.8858297	1	1562.0	36.4	28.0	590.1	19.7
1620158418.6644216	1	2310.0	48.2	22.0	565.4	22.1
1620158445.5551014	1	605.0	18.5	22.0	584.3	18.1
1620158469.915214	2	3429.3	64.9	30.0	584.3	18.1
1620158496.7390444	1	1583.7	34.5	26.0	567.2	24.8
