Metadata,Ionization Freqs.:541.433020 -50 350 10:THz MHz,Window Start:160.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.32:,BG_std:0.5810335618533581:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1620160504.7063756	1	541.433020	0.0
1620160508.803145	2	541.432970	0.0
1620160512.91903	3	541.433020	12.0
1620160517.1122234	4	541.432980	4.0
1620160521.2061338	5	541.433020	18.0
1620160525.314648	6	541.432990	10.0
1620160529.4083104	7	541.433020	26.0
1620160533.506429	8	541.433000	38.0
1620160537.5827713	9	541.433020	62.0
1620160541.7077003	10	541.433010	50.0
1620160545.798181	11	541.433020	38.0
1620160549.858603	12	541.433020	15.0
1620160553.8968189	13	541.433020	83.0
1620160558.011264	14	541.433030	22.0
1620160562.1109297	15	541.433020	26.0
1620160566.2921338	16	541.433040	9.0
1620160570.4084582	17	541.433020	34.0
1620160574.6348214	18	541.433050	12.0
1620160578.7364993	19	541.433020	46.0
