Metadata,Ionization Freqs.:541.433042 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.22:,BG_std:0.5015974481593781:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1621548124.8128982	1	541.433042	1.0
1621548131.8602061	2	541.432992	0.0
1621548138.8621466	3	541.433042	105.0
1621548146.382743	4	541.433002	2.0
1621548153.3372216	5	541.433042	3.0
1621548160.244728	6	541.433012	5.0
1621548167.1885307	7	541.433042	148.0
1621548174.1191401	8	541.433022	4.0
1621548181.0038161	9	541.433042	4.0
1621548188.2968614	10	541.433032	13.0
1621548195.4039423	11	541.433042	143.0
1621548202.226901	12	541.433042	10.0
1621548208.9991114	13	541.433042	144.0
1621548216.3905437	14	541.433052	15.0
1621548223.2417846	15	541.433042	175.0
