Metadata,Ionization Freq.:541.433317:THz,Cooling Freq.:607.427864:THz,Repump Freq.:461.312192:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1621624052.8513792	14	616.1	19.7	1.0	607.0	15.1
1621624087.2370832	15	599.2	18.9	0.0	599.4	23.7
1621624121.16077	16	615.3	38.2	3.0	614.3	20.0
1621624154.9420934	17	608.1	33.8	1.0	614.1	34.0
1621624190.1060946	18	605.2	19.0	1.0	617.0	14.6
1621624224.351095	19	615.1	12.1	2.0	618.1	25.4
1621624258.591562	20	627.1	24.9	2.0	610.1	29.2
1621624292.835783	21	618.8	33.1	0.0	613.6	28.4
1621624327.2547846	22	621.6	36.2	4.0	610.1	33.4
1621624361.461344	23	611.0	22.1	3.0	607.9	31.8
1621624395.8569124	24	616.3	20.4	3.0	606.3	19.6
1621624430.591222	25	610.9	18.4	0.0	600.5	17.8
1621624465.0886111	26	611.0	12.5	1.0	615.3	22.7
1621624499.6365256	27	604.1	23.0	0.0	597.4	30.3
1621624569.598161	29	603.7	17.3	1.0	609.0	17.7
1621624604.6282125	30	620.1	22.2	2.0	624.6	19.8
1621624639.334768	31	620.8	25.4	0.0	598.5	13.2
1621624673.9254687	32	608.5	20.4	5.0	614.7	19.3
1621624709.1174424	33	618.2	18.0	2.0	624.5	24.1
1621624744.2893853	34	603.4	18.4	2.0	608.4	18.6
1621624779.6401715	35	587.8	19.8	1.0	627.8	22.4
1621624814.8977997	36	608.2	28.8	4.0	614.6	11.9
1621624849.7278388	37	604.8	23.0	1.0	596.7	20.5
1621624884.7099202	38	599.8	13.0	1.0	610.2	30.4
1621624919.735746	39	598.8	19.8	7.0	594.8	26.1
1621624954.896683	40	607.9	17.6	3.0	639.0	24.6
1621624990.6200006	41	616.8	22.0	2.0	607.6	22.0
1621625025.7141864	42	602.9	31.0	2.0	604.8	24.9
1621625060.7323203	43	606.7	17.8	0.0	605.6	21.8
1621625095.8817263	44	613.1	23.6	1.0	607.8	14.1
1621625131.7805316	45	629.9	29.3	1.0	625.0	19.0
1621625167.0716817	46	604.4	23.7	7.0	608.3	15.9
1621625202.5536783	47	621.4	19.6	2.0	613.3	19.8
1621625238.6251457	48	610.5	23.4	7.0	603.3	15.2
1621625273.9174473	49	600.4	21.1	3.0	613.8	25.2
1621625309.5164444	50	631.5	23.3	1.0	615.3	21.7
