Metadata,Ionization Freq.:541.433310:THz,Cooling Freq.:607.427854:THz,Repump Freq.:461.312182:THz,Window Start:170.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1621975976.2775064	1	653.7	29.0	0.0	662.0	29.9
1621976017.3862774	2	654.8	26.1	0.0	655.1	26.9
1621976059.010837	3	651.7	22.5	1.0	663.0	20.2
1621976101.7798843	4	640.2	33.7	0.0	641.0	22.8
1621976144.4019008	5	643.8	26.0	3.0	654.6	26.2
1621976186.490061	6	660.0	9.2	1.0	647.1	19.5
1621976227.838131	7	664.0	19.0	1.0	651.1	26.7
1621976271.1525693	8	664.9	19.1	0.0	647.4	24.3
1621976313.287238	9	670.6	28.0	1.0	664.3	30.4
1621976355.5888155	10	662.0	30.6	1.0	654.5	17.9
1621976398.3415518	11	663.9	27.5	1.0	669.8	20.0
