Metadata,Ionization Freq.:541.433035:THz,Cooling Freq.:607.426010:THz,Repump Freq.:461.312085:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1621977443.2785718	1	674.1	23.5	79.0	653.6	20.8
1621977464.0468514	2	1675.9	39.4	58.0	653.6	20.8
1621977487.6622195	1	662.9	26.4	55.0	668.2	38.6
1621977508.540033	2	2570.0	56.0	68.0	668.2	38.6
1621977531.8871362	1	2608.7	63.1	60.0	652.9	31.0
1621977555.299057	1	3494.5	35.1	52.0	669.3	24.1
1621977578.6607068	1	2585.5	48.0	44.0	652.6	30.0
1621977602.071319	1	3475.3	72.4	36.0	644.0	29.0
1621977625.4778326	1	643.4	34.2	24.0	650.0	33.7
1621977646.4306772	2	1643.4	56.4	33.0	650.0	33.7
1621977670.3983207	1	613.2	27.3	21.0	648.6	14.6
1621977691.7069893	2	2573.7	54.8	63.0	648.6	14.6
1621977715.2836096	1	1632.6	37.2	51.0	645.5	30.0
1621977738.7634966	1	1598.7	38.3	46.0	646.1	18.6
1621977762.396147	1	2554.3	29.9	26.0	626.1	22.8
