Metadata,Ionization Freqs.:541.433040 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.52:,BG_std:0.64:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1621971978.6321244	1	541.433040	85.0
1621971984.9306731	2	541.432990	0.0
1621971991.8450904	3	541.433040	93.0
1621971999.7279124	4	541.433000	5.0
1621972006.5753942	5	541.433040	111.0
1621972014.818233	6	541.433010	13.0
1621972022.262431	7	541.433040	120.0
1621972029.7023475	8	541.433020	2.0
1621972036.6464381	9	541.433040	113.0
1621972043.938991	10	541.433030	8.0
1621972050.4006522	11	541.433040	105.0
1621972056.3811655	12	541.433040	13.0
1621972064.0314238	13	541.433040	130.0
1621972071.569693	14	541.433050	14.0
1621972078.864484	15	541.433040	125.0
1621972086.1493392	16	541.433060	6.0
1621972093.4747264	17	541.433040	100.0
1621972100.684412	18	541.433070	3.0
1621972107.9286876	19	541.433040	105.0
1621972116.242399	20	541.433080	3.0
1621972124.2522898	21	541.433040	113.0
1621972131.675668	22	541.433090	1.0
1621972139.1794658	23	541.433040	113.0
1621972146.6584802	24	541.433100	4.0
1621972153.864533	25	541.433040	127.0
1621972161.124825	26	541.433110	2.0
1621972168.543192	27	541.433040	139.0
1621972176.4148698	28	541.433120	3.0
1621972183.6346323	29	541.433040	97.0
1621972191.0990906	30	541.433130	4.0
1621972198.501875	31	541.433040	102.0
1621972205.980884	32	541.433140	3.0
1621972213.1260517	33	541.433040	127.0
1621972220.6643374	34	541.433150	2.0
1621972227.859423	35	541.433040	173.0
1621972235.9132078	36	541.433160	8.0
1621972243.2797961	37	541.433040	131.0
1621972251.5274706	38	541.433170	2.0
1621972258.9940991	39	541.433040	150.0
1621972266.4777842	40	541.433180	1.0
1621972273.801992	41	541.433040	164.0
1621972281.7987099	42	541.433190	5.0
1621972289.2417438	43	541.433040	112.0
1621972297.6909342	44	541.433200	2.0
1621972305.1041656	45	541.433040	145.0
1621972312.328196	46	541.433210	1.0
1621972319.383934	47	541.433040	124.0
1621972326.9259374	48	541.433220	2.0
