Metadata,Ionization Freqs.:541.433035 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.36:,BG_std:0.5571355310873648:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1622055940.1799018	1	541.433035	103.0
1622055946.274856	2	541.432985	0.0
1622055952.447407	3	541.433035	85.0
1622055958.7796867	4	541.432995	0.0
1622055964.9268773	5	541.433035	107.0
1622055971.151303	6	541.433005	5.0
1622055977.3100646	7	541.433035	100.0
1622055983.8933427	8	541.433015	5.0
1622055990.0440042	9	541.433035	168.0
1622055996.1660168	10	541.433025	11.0
1622056002.3019757	11	541.433035	127.0
1622056008.4007554	12	541.433035	19.0
1622056014.4470422	13	541.433035	133.0
1622056020.677469	14	541.433045	11.0
1622056026.824036	15	541.433035	152.0
1622056033.0148656	16	541.433055	8.0
1622056039.1402338	17	541.433035	129.0
1622056045.3990219	18	541.433065	4.0
1622056051.6102488	19	541.433035	144.0
1622056057.7817028	20	541.433075	0.0
1622056063.9724703	21	541.433035	132.0
1622056070.163975	22	541.433085	2.0
1622056076.2736738	23	541.433035	143.0
1622056082.4457893	24	541.433095	5.0
1622056088.5758145	25	541.433035	139.0
1622056094.8274698	26	541.433105	4.0
1622056100.9710145	27	541.433035	115.0
1622056107.5367987	28	541.433115	2.0
1622056113.6913676	29	541.433035	124.0
1622056119.8493965	30	541.433125	3.0
1622056125.9473245	31	541.433035	135.0
1622056132.1548033	32	541.433135	1.0
1622056138.2846808	33	541.433035	118.0
1622056144.5117056	34	541.433145	1.0
1622056150.6611488	35	541.433035	148.0
1622056156.8590431	36	541.433155	2.0
1622056162.9964235	37	541.433035	158.0
1622056169.162268	38	541.433165	1.0
1622056175.2701058	39	541.433035	130.0
1622056181.4089782	40	541.433175	0.0
1622056187.5658484	41	541.433035	129.0
1622056193.7451982	42	541.433185	1.0
1622056199.8522954	43	541.433035	114.0
1622056206.0450935	44	541.433195	2.0
1622056212.1711564	45	541.433035	110.0
1622056218.6321874	46	541.433205	1.0
1622056224.7624938	47	541.433035	148.0
1622056230.9521482	48	541.433215	2.0
1622056237.389268	49	541.433035	135.0
1622056243.5507264	50	541.433225	0.0
1622056249.709153	51	541.433035	152.0
1622056255.8814309	52	541.433235	1.0
1622056262.08282	53	541.433035	154.0
1622056268.3683293	54	541.433245	0.0
1622056274.5103407	55	541.433035	215.0
1622056280.6705866	56	541.433255	1.0
1622056286.7774475	57	541.433035	174.0
1622056292.9708574	58	541.433265	2.0
1622056299.1181066	59	541.433035	176.0
1622056305.323945	60	541.433275	0.0
1622056311.4546676	61	541.433035	117.0
1622056317.6531181	62	541.433285	1.0
1622056323.7852683	63	541.433035	148.0
1622056329.9809747	64	541.433295	1.0
1622056336.402979	65	541.433035	164.0
1622056342.625765	66	541.433305	2.0
1622056348.760892	67	541.433035	143.0
1622056354.9705853	68	541.433315	1.0
1622056361.0995722	69	541.433035	140.0
1622056367.2712927	70	541.433325	2.0
1622056373.3961306	71	541.433035	177.0
1622056379.6079717	72	541.433335	0.0
1622056385.781187	73	541.433035	111.0
1622056391.9719484	74	541.433345	1.0
1622056398.1542027	75	541.433035	160.0
1622056404.413168	76	541.433355	0.0
1622056410.6145122	77	541.433035	121.0
1622056416.8494034	78	541.433365	2.0
1622056423.0299478	79	541.433035	149.0
1622056429.2523844	80	541.433375	2.0
1622056435.4313607	81	541.433035	156.0
1622056441.8694425	1	541.432985	1.0
1622056448.054401	2	541.433035	105.0
1622056454.4349577	3	541.432995	0.0
1622056460.6103811	4	541.433035	93.0
1622056466.9150379	5	541.433005	5.0
1622056473.1128962	6	541.433035	97.0
1622056479.3443458	7	541.433015	7.0
1622056485.5799115	8	541.433035	138.0
1622056491.820398	9	541.433025	9.0
1622056498.0282054	10	541.433035	132.0
1622056504.2111917	11	541.433035	11.0
1622056510.3443332	12	541.433035	98.0
1622056516.604434	13	541.433045	8.0
1622056522.841953	14	541.433035	113.0
1622056529.0770988	15	541.433055	8.0
1622056535.3125098	16	541.433035	147.0
1622056541.5488977	17	541.433065	6.0
1622056547.8506608	18	541.433035	176.0
1622056554.1196299	19	541.433075	6.0
1622056560.8056557	20	541.433035	178.0
1622056567.0519187	21	541.433085	3.0
1622056573.3105636	22	541.433035	201.0
1622056579.865519	23	541.433095	1.0
1622056586.070041	24	541.433035	196.0
1622056592.3159454	25	541.433105	5.0
1622056598.5288897	26	541.433035	154.0
1622056604.757224	27	541.433115	3.0
1622056610.9494767	28	541.433035	196.0
1622056617.1209013	29	541.433125	2.0
1622056623.3334632	30	541.433035	163.0
1622056629.5299108	31	541.433135	3.0
1622056635.7815328	32	541.433035	166.0
1622056642.0665212	33	541.433145	2.0
1622056648.3251045	34	541.433035	162.0
1622056654.5494046	35	541.433155	3.0
1622056660.8082983	36	541.433035	194.0
1622056667.1215556	37	541.433165	8.0
1622056673.3684595	38	541.433035	158.0
1622056679.8265834	39	541.433175	6.0
1622056686.0710125	40	541.433035	204.0
